firstname;gender
Evelyne;w
Everard;m
Everardo;m
Everett;m
Everette;m
Everhard;m
Evert;m
Evi;w
Evita;w
Evrard;m
Evzen;m
Ewa;w
Ewald;m
Ewan;m
Ewould;m
Ezechiel;m
Ezekiel;m
Ezio;m
Ezra;m
Fabia;w
Fabian;m
Fabián;m
Fabiana;w
Fabiane;w
Fabiano;m
Fabiao;m
Fabien;m
Fabienne;w
Fabio;m
Fabiola;w
Fabius;m
Fabrice;m
Fabrizio;m
Fabrizius;m
Fadri;m
Fae;w
Faith;w
Falco;m
Falk;m
Falko;m
Fannie;w
Fanny;w
Fatima;w
Fatime;w
Fatlind;m
Fatlinda;w
Fatlum;m
Fatma;w
Fatmir;m
Faton;m
Fatou;w
Fausta;w
Faustina;w
Faustinus;m
Fausto;m
Faustus;m
Fay;w
Faye;w
Fearghas;m
Fedele;m
Federica;w
Federico;m
Federigo;m
Fedor;m
Fedra;w
Fee;w
Felice;m
Felicia;w
Felician;m
Feliciana;w
Feliciano;m
Felicianus;m
Felicidad;w
Felicidade;w
Félicien;m
Felicita;w
Felicitas;w
Felicity;w
Felina;w
Felipe;m
Felix;m
Félix;m
Felizia;w
Felizian;m
Felizitas;w
Femke;w
Feodor;m
Feodora;w
Ferdinand;m
Ferdinanda;w
Ferdinande;w
Ferdinando;m
Ferenc;m
Fergie;w
Fergus;m
Ferike;w
Fermin;m
Fern;w
Fernand;m
Fernanda;w
Fernandine;w
Fernando;m
Ferruccio;m
Festina;w
Fiammetta;w
Fidel;m
Fidelio;m
Fidelis;m
Fidelius;m
Fido;m
Filarete;m
Filibert;m
Filiberta;w
Filiberto;m
Filip;m
Filipa;w
Filipe;m
Filipp;m
Filippo;m
Filiz;w
Filomena;w
Fina;w
Fina;w
Finbar;m
Finetta;w
Finette;w
Finja;w
Finn;m
Finn;m
Fiona;w
Fíona;w
Fionn;m
Fionnbharr;m
Fiorella;w
Fiorenza;w
Fiorenzo;m
Firat;m
Firmin;m
Firmino;m
Fisnik;m
Fitim;m
Fjodor;m
Flaminio;m
Flamur;m
